frame,value
456,0.853727
457,0.704692
458,0.519022
459,0.348100
460,0.218869
461,0.837880
462,0.685912
463,0.543125
464,0.416475
465,0.318280
466,0.812111
467,0.653593
468,0.479301
469,0.278168
470,0.128939
471,0.940794
472,0.874158
473,0.745228
474,0.698060
475,0.895878
476,0.766916
477,0.615985
478,0.462966
479,0.340663
480,0.828591
481,0.627732
482,0.445915
483,0.327633
484,0.194777
485,0.793910
486,0.589207
487,0.410579
488,0.221217
489,0.115007
490,0.806841
491,0.640775
492,0.487563
493,0.363443
494,0.264501
495,0.795314
496,0.621032
497,0.412579
498,0.206395
499,0.081896
500,0.927068
501,0.846422
502,0.689771
503,0.628116
504,0.878921
505,0.734036
506,0.556854
507,0.408881
508,0.275893
509,0.917883
510,0.635063
511,0.415205
512,0.223802
513,0.134469
514,0.782722
515,0.548404
516,0.360733
517,0.183914
518,0.084421
519,0.817344
520,0.653952
521,0.496224
522,0.374685
523,0.279755
524,0.816531
525,0.660603
526,0.478369
527,0.254520
528,0.057165
529,0.922263
530,0.829441
531,0.637931
532,0.571072
533,0.880543
534,0.741196
535,0.575708
536,0.427222
537,0.303648
538,0.798379
539,0.580747
540,0.388494
541,0.224854
542,0.115397
543,0.776064
544,0.543452
545,0.343928
546,0.176191
547,0.060710
548,0.825895
549,0.673134
550,0.522389
551,0.395905
552,0.295353
553,0.807639
554,0.649500
555,0.457008
556,0.243031
557,0.085673
558,0.930528
559,0.842716
560,0.665729
561,0.603458
562,0.889341
563,0.757377
564,0.599618
565,0.452274
566,0.323803
567,0.978356
568,0.710842
569,0.471699
570,0.299490
571,0.163980
572,0.810927
573,0.601771
574,0.416058
575,0.230365
576,0.075891
577,0.839241
578,0.691665
579,0.551259
580,0.428132
581,0.319151
582,0.827407
583,0.674942
584,0.495106
585,0.328324
586,0.146448
587,0.935874
588,0.865349
589,0.726279
590,0.672314
591,0.893978
592,0.771281
593,0.608283
594,0.474269
595,0.353998
596,0.918267
597,0.632352
598,0.447893
599,0.283475
600,0.194230
601,0.820419
602,0.612986
603,0.399170
604,0.234663
605,0.113818
606,0.834446
607,0.685264
608,0.537161
609,0.408775
610,0.311642
611,0.834688
612,0.684729
613,0.525794
614,0.334855
615,0.139881
616,0.928882
617,0.841942
618,0.653289
619,0.577521
620,0.895806
621,0.770961
622,0.602079
623,0.437535
624,0.333716
625,0.950587
626,0.717896
627,0.528009
628,0.323787
629,0.193806
630,0.824299
631,0.651097
632,0.471060
633,0.268962
634,0.127592
635,0.856803
636,0.718738
637,0.581310
638,0.463816
639,0.362912
640,0.830249
641,0.699326
642,0.543809
643,0.370726
644,0.229860
645,0.950314
646,0.890956
647,0.777689
648,0.732898
649,0.902202
650,0.790007
651,0.645089
652,0.496029
653,0.394609
654,0.849732
655,0.675777
656,0.513433
657,0.377440
658,0.245971
659,0.823589
660,0.649661
661,0.485631
662,0.329944
663,0.186471
664,0.798946
665,0.632625
666,0.491322
