frame,value
456,42.092892
457,36.069046
458,29.330971
459,23.244427
460,18.515789
461,42.523785
462,36.805817
463,32.089531
464,27.890501
465,24.381325
466,37.629242
467,31.649651
468,25.707396
469,19.839907
470,16.068497
471,27.216738
472,19.947392
473,14.507694
474,13.382318
475,37.908146
476,32.801994
477,27.869308
478,23.878090
479,20.075071
480,47.042698
481,36.043667
482,27.753872
483,23.588007
484,18.974201
485,40.495396
486,32.102520
487,25.790642
488,20.275028
489,16.507656
490,42.462368
491,37.008072
492,32.359150
493,28.244822
494,24.511360
495,38.788918
496,32.446503
497,25.580576
498,20.026649
499,16.430767
500,27.293972
501,20.128374
502,14.670082
503,13.456035
504,38.505817
505,32.509518
506,28.060228
507,24.239712
508,20.326860
509,50.861694
510,38.863319
511,28.955750
512,22.722712
513,19.570271
514,41.365898
515,33.161621
516,26.737522
517,21.022266
518,16.964901
519,42.470276
520,36.858810
521,31.890491
522,27.900331
523,24.360826
524,39.037338
525,33.228931
526,27.441605
527,20.980202
528,16.527082
529,27.256632
530,19.954639
531,14.428960
532,13.378791
533,37.687241
534,32.914654
535,27.766781
536,23.892429
537,19.972359
538,46.950001
539,38.255123
540,29.052658
541,22.842060
542,18.716595
543,40.782703
544,33.229836
545,26.763130
546,21.206059
547,16.591328
548,41.781013
549,36.095840
550,31.193871
551,26.941494
552,23.366251
553,38.102047
554,32.119606
555,25.788628
556,20.055267
557,16.182669
558,26.930779
559,19.672197
560,14.286896
561,13.268094
562,38.248096
563,32.889008
564,27.609245
565,23.972698
566,20.093807
567,53.839802
568,42.322739
569,29.801004
570,23.383751
571,18.964989
572,41.389954
573,33.711571
574,27.033424
575,21.072342
576,16.420792
577,42.648659
578,37.095226
579,32.387337
580,28.344814
581,24.552649
582,39.872318
583,34.070583
584,28.568361
585,23.112364
586,17.339581
587,27.091961
588,19.952259
589,14.473480
590,13.297937
591,38.591496
592,32.509758
593,28.082035
594,23.551647
595,20.730862
596,50.533546
597,41.754993
598,33.562744
599,24.857359
600,21.015533
601,42.074123
602,35.071392
603,28.071863
604,22.567814
605,17.600405
606,42.378044
607,36.963253
608,32.141678
609,27.916267
610,24.458963
611,37.855778
612,30.902180
613,24.818008
614,19.868271
615,16.215555
616,27.263422
617,20.005482
618,14.457688
619,13.321428
620,38.469139
621,33.027252
622,27.773993
623,23.710739
624,20.358240
625,51.191479
626,38.250000
627,28.928835
628,22.527607
629,18.702488
630,41.699341
631,33.577187
632,26.706459
633,20.848963
634,16.624514
635,42.229927
636,36.169125
637,31.160358
638,27.036989
639,23.433983
640,38.807934
641,32.888077
642,26.479015
643,20.289368
644,16.034166
645,27.014057
646,19.746492
647,14.285880
648,13.076812
649,38.207558
650,32.553375
651,27.934353
652,23.623531
653,19.704651
654,46.501217
655,37.631058
656,28.674753
657,23.050051
658,18.018524
659,41.161480
660,33.015705
661,26.612913
662,20.878008
663,16.310268
664,42.498009
665,36.848934
666,32.110203
667,27.920696
668,24.386732
669,39.397366
670,33.333252
671,27.041424
672,20.341476
673,16.404663
674,29.720955
675,22.589642
676,16.982679
677,14.677874
678,37.977291
679,32.522690
680,27.836378
681,24.093880
682,19.890562
683,49.411224
684,46.567936
685,33.568298
686,24.230301
687,19.886103
688,41.919228
689,35.319935
690,28.415474
691,21.686995
692,16.970060
693,42.432919
694,36.680901
695,31.876129
696,27.755835
697,24.102806
698,37.415142
699,29.383835
700,23.904016
701,20.188675
702,16.774084
703,27.417206
704,20.197121
705,14.889998
706,13.644219
707,38.287941
708,33.401455
709,27.786430
710,23.894463
711,20.994375
712,41.648369
713,33.526371
714,28.767426
715,24.437134
716,24.437134
717,38.001839
718,30.870224
719,25.191423
720,21.045845
721,19.079950
722,42.515568
723,37.120667
724,32.205395
725,28.273785
726,24.647524
727,36.935459
728,30.006119
729,23.652182
730,19.277054
731,16.407804
732,27.427179
733,20.210218
734,14.686510
735,38.431984
736,32.798744
737,28.099651
738,24.425648
739,20.431358
740,44.765415
741,33.784592
742,25.925388
743,24.825729
744,21.235153
745,39.511559
746,31.071327
747,24.718201
748,19.699242
749,16.502525
750,42.446522
751,36.927906
752,32.180584
753,28.267725
754,24.573177
755,39.078945
756,33.517574
757,28.413300
758,23.052166
759,17.502167
760,26.867275
761,19.780727
762,14.284981
763,13.182317
764,38.723923
765,32.527935
766,27.712011
767,24.106167
768,20.725691
769,49.042252
770,40.348473
771,32.539982
772,24.013485
773,20.573402
774,41.503967
775,34.171482
776,27.546694
777,22.287029
778,17.940147
779,42.496712
780,36.945652
781,32.338924
782,28.185764
783,24.548504
784,37.281998
785,29.695807
786,23.155300
787,18.926722
788,16.122902
789,27.658157
790,20.317226
791,14.933578
792,13.137320
793,38.133709
794,32.596821
795,28.334177
796,23.820644
797,20.845728
798,45.980381
799,34.388927
800,27.275774
801,22.961292
802,20.538853
803,39.687546
804,31.575745
805,24.853519
806,19.822556
807,16.568668
808,42.075771
809,36.502163
810,31.400736
811,27.198692
812,23.515816
813,39.201561
814,33.203453
815,26.919025
816,21.092014
817,16.344425
818,26.720980
819,19.643623
820,14.119363
821,12.982421
822,37.847477
823,32.753990
824,27.697508
825,24.026318
826,20.086040
827,53.383041
828,42.753456
829,31.842953
830,21.735001
831,18.555162
832,42.099808
833,34.614822
834,27.895050
835,21.793140
836,17.163280
837,42.473503
838,36.945770
839,32.270874
840,28.080767
841,24.579361
842,38.501308
843,32.213654
844,26.017422
845,20.241001
846,16.646921
847,27.365173
848,20.248091
849,14.860559
850,13.644510
851,38.109097
852,32.534126
853,28.261644
854,24.022158
855,20.405914
856,50.422802
857,40.077309
858,29.082127
859,23.711124
860,18.869720
861,41.689793
862,34.099010
863,26.804451
864,21.083939
865,16.986210
average,28.373829
